Longitude,Latitude,MO,YEAR,PRECTOTCORR
9.348515504033744,14.83900422374238,4,1982,30.97
9.348515504033744,14.83900422374238,4,1983,28.52
9.348515504033744,14.83900422374238,4,1984,53.8
9.348515504033744,14.83900422374238,4,1985,27.400000000000002
9.348515504033744,14.83900422374238,4,1986,26.72
9.348515504033744,14.83900422374238,4,1987,14.51
9.348515504033744,14.83900422374238,4,1988,67.57
9.348515504033744,14.83900422374238,4,1989,29.34
9.348515504033744,14.83900422374238,4,1990,49.61
9.348515504033744,14.83900422374238,4,1991,65.19
9.348515504033744,14.83900422374238,4,1992,64.93
9.348515504033744,14.83900422374238,4,1993,48.63
9.348515504033744,14.83900422374238,4,1994,34.36
9.348515504033744,14.83900422374238,4,1995,62.47
9.348515504033744,14.83900422374238,4,1996,63.29
9.348515504033744,14.83900422374238,4,1997,95.43
9.348515504033744,14.83900422374238,4,1998,39.97
9.348515504033744,14.83900422374238,4,1999,53.74
9.348515504033744,14.83900422374238,4,2000,7.0600000000000005
9.348515504033744,14.83900422374238,4,2001,13.7
9.348515504033744,14.83900422374238,4,2002,45.61
9.348515504033744,14.83900422374238,4,2003,57.8
9.348515504033744,14.83900422374238,4,2004,46.97
9.348515504033744,14.83900422374238,4,2005,24.64
9.348515504033744,14.83900422374238,4,2006,7.22
9.348515504033744,14.83900422374238,4,2007,25.02
9.348515504033744,14.83900422374238,4,2008,25.99
9.348515504033744,14.83900422374238,4,2009,53.769999999999996
9.348515504033744,14.83900422374238,4,2010,50.61
9.348515504033744,14.83900422374238,4,2011,19.94
9.348515504033744,14.83900422374238,4,2012,23.59
9.348515504033744,14.83900422374238,4,2013,14.639999999999999
9.348515504033744,14.83900422374238,4,2014,201.09
9.348515504033744,14.83900422374238,4,2015,0.94
9.348515504033744,14.83900422374238,4,2016,64.21
9.348515504033744,14.83900422374238,4,2017,39.97
9.348515504033744,14.83900422374238,4,2018,12.72
9.348515504033744,14.83900422374238,4,2019,4.79
9.348515504033744,14.83900422374238,4,2020,17.61
9.348515504033744,14.83900422374238,4,2021,6.44
9.348515504033744,14.83900422374238,4,2022,26.31
9.348515504033744,14.83900422374238,4,2023,2.93
9.348515504033744,14.83900422374238,5,1981,155.78
9.348515504033744,14.83900422374238,5,1982,261.13
9.348515504033744,14.83900422374238,5,1983,161.3
9.348515504033744,14.83900422374238,5,1984,98.14
9.348515504033744,14.83900422374238,5,1985,91.43
9.348515504033744,14.83900422374238,5,1986,128.56
9.348515504033744,14.83900422374238,5,1987,124.93
9.348515504033744,14.83900422374238,5,1988,114.93
9.348515504033744,14.83900422374238,5,1989,110.54
9.348515504033744,14.83900422374238,5,1990,117.28
9.348515504033744,14.83900422374238,5,1991,190.55
9.348515504033744,14.83900422374238,5,1992,118.75
9.348515504033744,14.83900422374238,5,1993,106.2
9.348515504033744,14.83900422374238,5,1994,102.07
9.348515504033744,14.83900422374238,5,1995,128.52
9.348515504033744,14.83900422374238,5,1996,130.64
9.348515504033744,14.83900422374238,5,1997,156.64
9.348515504033744,14.83900422374238,5,1998,123.63
9.348515504033744,14.83900422374238,5,1999,62.5
9.348515504033744,14.83900422374238,5,2000,75.73
9.348515504033744,14.83900422374238,5,2001,68.97
9.348515504033744,14.83900422374238,5,2002,39.5
9.348515504033744,14.83900422374238,5,2003,135.28
9.348515504033744,14.83900422374238,5,2004,131.9
9.348515504033744,14.83900422374238,5,2005,89.81
9.348515504033744,14.83900422374238,5,2006,94.44
9.348515504033744,14.83900422374238,5,2007,96.71
9.348515504033744,14.83900422374238,5,2008,78.55
9.348515504033744,14.83900422374238,5,2009,49.82
9.348515504033744,14.83900422374238,5,2010,141.35
9.348515504033744,14.83900422374238,5,2011,84.66
9.348515504033744,14.83900422374238,5,2012,139.54
9.348515504033744,14.83900422374238,5,2013,85.93
